@attribute Std_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {water60}


@data
% filename water60.wav
% srate 86.1328
-59.725325,3.888148,0.696951,0.955554,0.051473,0.281101,-0.062953,0.086330,0.194362,0.195350,0.198102,0.093100,-0.051863,0.878512,0.507257,0.916283,0.619341,0.325448,0.422520,0.538735,0.495029,0.387799,0.376075,0.560896,0.588907,0.398982,
-59.726747,3.964914,0.800416,0.923728,0.022964,0.236380,-0.027692,0.155742,0.190883,0.203214,0.152512,0.085355,-0.099080,0.874797,0.449766,0.754160,0.592856,0.309240,0.458282,0.495905,0.426157,0.389566,0.371821,0.598190,0.591957,0.383185,
-59.770070,3.968117,0.816841,0.957375,-0.029766,0.236093,-0.016081,0.127015,0.159906,0.231532,0.209100,0.064508,-0.102397,0.843602,0.440626,0.739584,0.588142,0.307241,0.457994,0.511867,0.367852,0.379161,0.403807,0.593736,0.581238,0.381565,
-59.749353,3.956380,0.798126,0.967555,-0.035819,0.206049,0.013788,0.105451,0.124332,0.234442,0.171549,0.055253,-0.093313,0.852897,0.452281,0.746130,0.594664,0.302137,0.454536,0.490670,0.391249,0.395998,0.404235,0.616598,0.582750,0.388639,
-59.745019,3.880525,0.794651,1.016924,0.006489,0.175051,-0.011309,0.165133,0.097888,0.191038,0.151847,0.057226,-0.093933,0.854607,0.548892,0.745787,0.581856,0.326033,0.434360,0.475153,0.448162,0.406960,0.424832,0.625305,0.583313,0.388003,
-59.670692,3.861033,0.775143,1.030339,0.060166,0.226020,0.018688,0.115942,0.070914,0.167981,0.123491,0.022011,-0.108257,0.882878,0.548489,0.745534,0.580967,0.316951,0.427674,0.450428,0.480273,0.444171,0.454177,0.633503,0.555914,0.383248,
-59.618352,3.874693,0.779462,0.999972,0.008533,0.210450,-0.002281,0.111030,0.095092,0.126422,0.060988,-0.020043,-0.127181,0.935792,0.552088,0.743447,0.613371,0.359111,0.438669,0.441763,0.485614,0.438869,0.421534,0.635627,0.554636,0.393813,
-59.498758,3.865155,0.703565,1.014257,0.003249,0.192285,0.002874,0.072588,0.014792,0.124864,0.061787,0.036770,-0.101279,0.975523,0.545448,0.658524,0.608312,0.361820,0.446781,0.436879,0.473950,0.424896,0.421898,0.635908,0.580127,0.415375,
-59.486747,3.802291,0.746585,1.106252,0.035059,0.164074,0.009011,0.064521,-0.012216,0.121556,0.025611,-0.011487,-0.097261,0.985641,0.510220,0.581976,0.500695,0.411128,0.397997,0.434262,0.478349,0.422377,0.419771,0.615400,0.576221,0.416752,
-59.360512,3.791414,0.773727,1.156983,0.071094,0.215226,0.003081,0.095363,-0.006666,0.042919,0.007991,-0.015816,-0.055548,0.986502,0.519261,0.524512,0.484309,0.383075,0.492617,0.431969,0.509396,0.426144,0.452280,0.614908,0.577292,0.413494,
-59.295164,3.777670,0.695052,1.112361,0.059653,0.206314,-0.039912,0.142026,0.002898,0.099155,0.051593,0.055140,-0.087304,0.979644,0.524544,0.519941,0.457462,0.385926,0.491189,0.439174,0.570976,0.436048,0.517408,0.649581,0.571045,0.412117,
-59.169106,3.689568,0.705868,1.102523,0.055420,0.168991,-0.090834,0.114594,-0.053415,0.058800,0.038805,0.010608,-0.135834,1.018239,0.543939,0.510981,0.474670,0.387505,0.527667,0.445292,0.569575,0.449554,0.520907,0.641308,0.554423,0.404335,
-58.994767,3.675896,0.696995,1.136410,0.019659,0.147896,-0.080074,0.126091,-0.061539,0.086893,0.058085,-0.022846,-0.115082,0.987385,0.544304,0.513443,0.436282,0.366961,0.523767,0.450503,0.575631,0.443686,0.524175,0.642583,0.556094,0.443995,
-58.855710,3.615709,0.646181,1.088917,-0.011816,0.156683,-0.063959,0.183907,0.005615,0.106276,0.051269,-0.015841,-0.120638,0.963361,0.538520,0.472034,0.457926,0.372671,0.520761,0.456304,0.577958,0.443211,0.504165,0.638031,0.556098,0.446099,
-58.759365,3.609351,0.641772,1.094296,-0.032562,0.171636,-0.078622,0.171344,-0.006678,0.107860,0.054026,-0.011697,-0.099171,0.913341,0.538939,0.469096,0.461562,0.368119,0.529109,0.471605,0.587044,0.439508,0.505575,0.636297,0.556130,0.454401,
-58.528289,3.641982,0.621186,1.145760,-0.062583,0.166257,-0.104742,0.149078,-0.028997,0.126018,0.023170,-0.058005,-0.076653,0.950538,0.557493,0.448019,0.459626,0.392720,0.532802,0.453659,0.583987,0.448889,0.497334,0.617659,0.496679,0.470995,
-58.454230,3.604665,0.583003,1.130045,-0.025319,0.129656,-0.139372,0.148559,-0.081340,0.107043,0.004992,-0.080604,-0.002857,0.875824,0.560998,0.502737,0.464933,0.431754,0.499969,0.460917,0.584147,0.405708,0.504393,0.628278,0.529402,0.399686,
-58.362402,3.535059,0.503286,1.093544,-0.023766,0.130431,-0.165203,0.120829,-0.011081,0.208222,-0.038789,-0.143389,-0.003493,0.790178,0.555427,0.456316,0.438100,0.432137,0.499714,0.454558,0.602513,0.445098,0.605532,0.529977,0.505198,0.400232,
-58.324951,3.495637,0.477972,1.040880,-0.059488,0.114256,-0.188425,0.103507,0.002488,0.228211,0.035104,-0.016931,0.054815,0.782841,0.522269,0.415864,0.417762,0.472349,0.501896,0.425373,0.598197,0.456359,0.609170,0.475551,0.478527,0.438971,
-58.234116,3.465871,0.437662,1.024453,-0.055052,0.117796,-0.184896,0.111455,0.001736,0.192928,0.034161,0.001218,0.082622,0.746761,0.524026,0.390707,0.405369,0.471793,0.497843,0.423928,0.601331,0.456051,0.609099,0.475717,0.472727,0.450587,
-58.192155,3.393426,0.398865,1.071186,-0.020527,0.179570,-0.071322,0.171676,-0.061985,0.168577,0.059850,-0.001987,0.132486,0.746699,0.525062,0.368357,0.456337,0.488857,0.553312,0.426889,0.563585,0.496845,0.606370,0.480803,0.472036,0.431743,
-58.213481,3.318795,0.387301,1.063205,-0.004633,0.186627,-0.069225,0.102914,-0.072875,0.176477,0.103697,0.011657,0.148096,0.731144,0.490765,0.369427,0.456709,0.492228,0.544917,0.425758,0.617915,0.498620,0.606137,0.443025,0.469453,0.416993,
-58.102648,3.422797,0.395759,1.045155,0.026017,0.174497,-0.099961,0.083856,-0.087386,0.129651,0.085076,0.028581,0.112543,0.684713,0.568759,0.369500,0.458302,0.478128,0.536082,0.382870,0.606211,0.500660,0.581110,0.425041,0.480752,0.452414,
